"Année","Nb_décès"
"1882",1
"1886",1
"1889",2
"1890",1
"1891",7
"1892",5
"1893",5
"1894",12
"1895",3
"1896",3
"1898",2
"1899",1
"1900",6
"1901",4
"1902",6
"1903",4
"1904",4
"1905",3
"1906",8
"1907",3
"1908",7
"1909",5
"1910",4
"1911",11
"1912",6
"1913",4
"1914",18
"1915",11
"1916",9
"1917",7
"1918",8
"1919",9
"1920",9
"1921",9
"1922",13
"1923",12
"1924",9
"1925",13
"1926",12
"1927",13
"1928",19
"1929",12
"1930",19
"1931",11
"1932",14
"1933",19
"1934",13
"1935",15
"1936",13
"1937",21
"1938",21
"1939",10
"1940",49
"1941",39
"1942",2704
"1943",800
"1944",702
"1945",173
"1946",40
"1947",45
"1948",30
"1949",54
"1950",28
"1951",33
"1952",47
"1953",69
"1954",37
"1955",48
"1956",59
"1957",60
"1958",110
"1959",98
"1960",113
"1961",102
"1962",130
"1963",120
"1964",116
"1965",138
"1966",155
"1967",160
"1968",233
"1969",286
"1970",27356
"1971",161370
"1972",336339
"1973",366366
"1974",380881
"1975",399670
"1976",409307
"1977",405140
"1978",421404
"1979",425423
"1980",438360
"1981",455064
"1982",453700
"1983",474033
"1984",464546
"1985",475113
"1986",477556
"1987",462601
"1988",459227
"1989",538728
"1990",539989
"1991",537401
"1992",533793
"1993",547368
"1994",536751
"1995",545719
"1996",559404
"1997",552291
"1998",571013
"1999",603374
"2000",550135
"2001",550750
"2002",552733
"2003",570952
"2004",526863
"2005",546024
"2006",533600
"2007",538436
"2008",550105
"2009",556130
"2010",557636
"2011",549021
"2012",578424
"2013",577628
"2014",567609
"2015",601918
"2016",602285
"2017",615519
"2018",618433
"2019",620628
"2020",156857
